model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_age,mileage_per_year,engine_category,fuel_efficiency,tax_category,price_segment
 Fiesta,2018,13298,Manual,13756,Petrol,145,58.9,1.0,8,1528.4444444444443,small,medium,medium,Premium
 Kuga,2015,14398,Manual,25175,Diesel,145,54.3,2.0,11,2097.9166666666665,medium,medium,medium,Premium
 Fiesta,2017,8998,Manual,21267,Petrol,145,64.2,1.1,9,2126.7,small,high,medium,Budget
 Fiesta,2019,12698,Manual,12130,Petrol,145,56.5,1.0,7,1516.25,small,medium,medium,Premium
 Fiesta,2019,11998,Manual,17354,Petrol,145,56.5,1.0,7,2169.25,small,medium,medium,Premium
 Fiesta,2019,13498,Manual,15822,Petrol,145,58.9,1.0,7,1977.75,small,medium,medium,Premium
 Fiesta,2019,13498,Manual,10557,Petrol,145,58.9,1.0,7,1319.625,small,medium,medium,Premium
 Focus,2016,9698,Manual,20786,Petrol,20,61.4,1.0,10,1889.6363636363637,small,high,low,Economy
 Focus,2016,24995,Manual,7997,Petrol,235,36.7,2.3,10,727.0,large,low,high,Luxury
 Fiesta,2017,9895,Manual,19079,Petrol,145,65.7,1.0,9,1907.9,small,high,medium,Economy
 Fiesta,2018,12995,Manual,14979,Petrol,145,58.9,1.0,8,1664.3333333333333,small,medium,medium,Premium
 Tourneo Connect,2015,9295,Manual,47904,Diesel,125,56.5,1.6,11,3992.0,medium,medium,medium,Economy
 Fiesta,2016,8495,Manual,24410,Petrol,125,54.3,1.2,10,2219.090909090909,small,medium,medium,Budget
 Fiesta,2019,13895,Manual,13600,Petrol,145,58.9,1.0,7,1700.0,small,medium,medium,Premium
 Focus,2018,18298,Manual,21456,Diesel,145,67.3,2.0,8,2384.0,medium,high,medium,Luxury
 Focus,2015,9198,Manual,31512,Diesel,0,74.3,1.5,11,2626.0,medium,high,low,Economy
 Fiesta,2016,10798,Manual,11843,Petrol,0,65.7,1.0,10,1076.6363636363637,small,high,low,Economy
 Fiesta,2016,8998,Manual,31373,Petrol,0,65.7,1.0,10,2852.090909090909,small,high,low,Budget
 Kuga,2018,18498,Manual,7796,Diesel,145,54.3,1.5,8,866.2222222222222,medium,medium,medium,Luxury
 Kuga,2017,13498,Manual,26597,Diesel,145,54.3,2.0,9,2659.7,medium,medium,medium,Premium
 Kuga,2017,14998,Manual,15978,Diesel,30,64.2,1.5,9,1597.8,medium,high,low,Premium
 Kuga,2017,13998,Automatic,13265,Petrol,240,38.2,1.5,9,1326.5,medium,low,high,Premium
 EcoSport,2016,9998,Manual,20491,Petrol,125,52.3,1.0,10,1862.8181818181818,small,medium,medium,Economy
 Tourneo Connect,2017,10998,Manual,16310,Petrol,125,50.4,1.0,9,1631.0,small,medium,medium,Economy
 Focus,2017,17698,Manual,14557,Petrol,145,41.5,2.0,9,1455.7,medium,medium,medium,Luxury
 Focus,2017,11498,Semi-Auto,30917,Petrol,125,51.4,1.0,9,3091.7,small,medium,medium,Premium
 Focus,2017,12798,Manual,22153,Diesel,145,74.3,1.5,9,2215.3,medium,high,medium,Premium
 C-MAX,2015,8698,Manual,31743,Petrol,30,55.4,1.0,11,2645.25,small,medium,low,Budget
 Kuga,2019,19495,Manual,13673,Diesel,145,47.9,2.0,7,1709.125,medium,medium,medium,Luxury
 Fiesta,2018,9995,Manual,25776,Petrol,145,65.7,1.0,8,2864.0,small,high,medium,Economy
 Focus,2016,10995,Manual,30923,Diesel,0,74.3,1.5,10,2811.181818181818,medium,high,low,Economy
 Kuga,2017,13998,Manual,24504,Diesel,150,64.2,1.5,9,2450.4,medium,high,medium,Premium
 Fiesta,2017,11998,Manual,6568,Petrol,145,62.8,1.0,9,656.8,small,high,medium,Premium
 Tourneo Connect,2016,8998,Manual,42960,Diesel,30,61.4,1.5,10,3905.4545454545455,medium,high,low,Budget
 Kuga,2018,16698,Manual,5117,Diesel,145,54.3,1.5,8,568.5555555555555,medium,medium,medium,Luxury
 EcoSport,2016,8998,Manual,31736,Petrol,125,53.3,1.0,10,2885.090909090909,small,medium,medium,Budget
 Fiesta,2015,7998,Manual,19212,Petrol,0,65.7,1.0,11,1601.0,small,high,low,Budget
 Fiesta,2018,12495,Manual,12426,Petrol,145,65.7,1.0,8,1380.6666666666667,small,high,medium,Premium
 Ka+,2017,7995,Manual,12872,Petrol,145,57.7,1.2,9,1287.2,small,medium,medium,Budget
 Puma,2020,21995,Manual,4111,Petrol,145,50.4,1.0,6,587.2857142857143,small,medium,medium,Luxury
 Kuga,2018,16995,Manual,34690,Diesel,145,60.1,2.0,8,3854.4444444444443,medium,high,medium,Luxury
 Fiesta,2018,11995,Manual,32168,Petrol,145,65.7,1.0,8,3574.222222222222,small,high,medium,Premium
 Kuga,2019,19995,Manual,11312,Diesel,145,47.9,2.0,7,1414.0,medium,medium,medium,Luxury
 Fiesta,2017,8995,Manual,31559,Petrol,145,65.7,1.0,9,3155.9,small,high,medium,Budget
 Ka+,2017,8295,Manual,23000,Petrol,145,57.7,1.2,9,2300.0,small,medium,medium,Budget
 EcoSport,2018,14698,Manual,6442,Petrol,145,54.3,1.0,8,715.7777777777778,small,medium,medium,Premium
 Fiesta,2016,10498,Semi-Auto,29590,Petrol,0,57.7,1.0,10,2690.0,small,medium,low,Economy
 Focus,2018,14495,Manual,17030,Petrol,145,57.7,1.0,8,1892.2222222222222,small,medium,medium,Premium
 Focus,2016,8995,Manual,22493,Petrol,20,60.1,1.0,10,2044.8181818181818,small,high,low,Budget
 Focus,2016,15995,Manual,29600,Diesel,20,67.3,2.0,10,2690.909090909091,medium,high,low,Luxury
 C-MAX,2016,10995,Semi-Auto,26500,Diesel,125,58.9,2.0,10,2409.090909090909,medium,medium,medium,Economy
 Tourneo Custom,2017,19995,Manual,14000,Diesel,200,44.8,2.0,9,1400.0,medium,medium,high,Luxury
 C-MAX,2013,8295,Manual,34783,Diesel,30,61.4,1.6,13,2484.5,medium,high,low,Budget
 Focus,2015,7995,Manual,56655,Diesel,20,67.3,1.6,11,4721.25,medium,high,low,Budget
 Kuga,2019,19995,Manual,16000,Diesel,150,47.9,2.0,7,2000.0,medium,medium,medium,Luxury
 Mondeo,2015,9995,Manual,30753,Diesel,0,78.5,1.5,11,2562.75,medium,high,low,Economy
 Grand C-MAX,2018,13495,Manual,1030,Petrol,145,47.9,1.0,8,114.44444444444444,small,medium,medium,Premium
 C-MAX,2017,12995,Manual,7817,Petrol,145,55.4,1.0,9,781.7,small,medium,medium,Premium
 Focus,2018,12995,Manual,9781,Petrol,145,60.1,1.0,8,1086.7777777777778,small,high,medium,Premium
 EcoSport,2018,12998,Manual,17241,Petrol,145,54.3,1.0,8,1915.6666666666667,small,medium,medium,Premium
 Tourneo Connect,2015,10298,Manual,28309,Diesel,125,58.9,1.6,11,2359.0833333333335,medium,medium,medium,Economy
 Fiesta,2017,10498,Manual,50599,Petrol,0,65.7,1.0,9,5059.9,small,high,low,Economy
 Focus,2018,11298,Semi-Auto,37880,Diesel,150,74.3,1.5,8,4208.888888888889,medium,high,medium,Premium
 Kuga,2016,10698,Manual,56888,Diesel,125,60.1,2.0,10,5171.636363636364,medium,high,medium,Economy
 Focus,2018,15995,Manual,10500,Petrol,145,60.1,1.0,8,1166.6666666666667,small,high,medium,Luxury
 B-MAX,2014,6995,Semi-Auto,50800,Petrol,160,44.1,1.6,12,3907.6923076923076,medium,medium,medium,Budget
 Fiesta,2019,13950,Manual,6700,Petrol,145,58.9,1.0,7,837.5,small,medium,medium,Premium
 Fiesta,2017,10650,Manual,31800,Petrol,150,65.7,1.0,9,3180.0,small,high,medium,Economy
 Fiesta,2016,7995,Manual,20700,Petrol,125,54.3,1.2,10,1881.8181818181818,small,medium,medium,Budget
 Focus,2016,11495,Manual,29900,Diesel,0,74.3,1.5,10,2718.181818181818,medium,high,low,Premium
 Kuga,2018,16995,Manual,32858,Diesel,145,54.3,2.0,8,3650.8888888888887,medium,medium,medium,Luxury
 Fiesta,2018,11995,Manual,31593,Petrol,145,65.7,1.0,8,3510.3333333333335,small,high,medium,Premium
 Focus,2015,10995,Manual,13791,Petrol,125,51.4,1.5,11,1149.25,medium,medium,medium,Economy
 Kuga,2019,20495,Manual,12034,Diesel,145,47.9,2.0,7,1504.25,medium,medium,medium,Luxury
 Focus,2018,19995,Manual,10923,Diesel,145,67.3,2.0,8,1213.6666666666667,medium,high,medium,Luxury
 Kuga,2019,19995,Manual,10171,Diesel,145,38.2,2.0,7,1271.375,medium,low,medium,Luxury
 Focus,2016,10995,Manual,30923,Diesel,0,74.3,1.5,10,2811.181818181818,medium,high,low,Economy
 EcoSport,2019,18995,Manual,2291,Petrol,145,52.3,1.0,7,286.375,small,medium,medium,Luxury
 Focus,2017,11995,Manual,23469,Petrol,125,51.4,1.5,9,2346.9,medium,medium,medium,Premium
 Kuga,2017,16998,Manual,13626,Diesel,125,60.1,2.0,9,1362.6,medium,high,medium,Luxury
 Fiesta,2016,7398,Manual,35180,Petrol,125,54.3,1.2,10,3198.181818181818,small,medium,medium,Budget
 Fiesta,2019,11498,Manual,17708,Petrol,145,58.9,1.0,7,2213.5,small,medium,medium,Premium
 Fiesta,2019,13998,Manual,9957,Petrol,145,58.9,1.0,7,1244.625,small,medium,medium,Premium
 Focus,2019,16698,Manual,4542,Petrol,145,60.1,1.0,7,567.75,small,high,medium,Luxury
 Mondeo,2016,9998,Manual,38358,Diesel,0,78.5,1.5,10,3487.090909090909,medium,high,low,Economy
 Focus,2015,12998,Manual,25878,Diesel,20,67.3,2.0,11,2156.5,medium,high,low,Premium
 EcoSport,2016,9998,Semi-Auto,18325,Petrol,160,44.8,1.5,10,1665.909090909091,medium,medium,medium,Economy
 Focus,2017,12498,Manual,9338,Petrol,145,60.1,1.0,9,933.8,small,high,medium,Premium
 EcoSport,2018,14998,Manual,7133,Diesel,145,58.9,1.5,8,792.5555555555555,medium,medium,medium,Premium
 Focus,2017,10498,Manual,42002,Petrol,20,60.1,1.0,9,4200.2,small,high,low,Economy
 Kuga,2017,16995,Automatic,3700,Petrol,145,38.2,1.5,9,370.0,medium,low,medium,Luxury
 Focus,2019,15495,Manual,5600,Petrol,145,60.1,1.0,7,700.0,small,high,medium,Luxury
 Fiesta,2015,9495,Manual,17288,Petrol,0,65.7,1.0,11,1440.6666666666667,small,high,low,Economy
 B-MAX,2013,5995,Manual,42996,Diesel,20,70.6,1.6,13,3071.1428571428573,medium,high,low,Budget
 Focus,2014,7498,Manual,47566,Petrol,30,56.5,1.0,12,3658.923076923077,small,medium,low,Budget
 Fiesta,2017,11798,Manual,4262,Petrol,0,65.7,1.0,9,426.2,small,high,low,Premium
 Fiesta,2017,10998,Manual,10125,Petrol,145,65.7,1.0,9,1012.5,small,high,medium,Economy
 Focus,2017,14998,Automatic,17028,Petrol,150,46.3,1.5,9,1702.8,medium,medium,medium,Premium
 Fiesta,2017,8998,Manual,12753,Petrol,145,54.3,1.2,9,1275.3,small,medium,medium,Budget
 Focus,2016,13998,Manual,24895,Diesel,20,67.3,2.0,10,2263.181818181818,medium,high,low,Premium
 Focus,2017,17998,Manual,9066,Petrol,145,41.5,2.0,9,906.6,medium,medium,medium,Luxury
 Fiesta,2019,18998,Manual,3292,Petrol,145,40.3,1.5,7,411.5,medium,medium,medium,Luxury
 Kuga,2013,9198,Semi-Auto,48130,Diesel,200,45.6,2.0,13,3437.8571428571427,medium,medium,high,Economy
 Kuga,2015,14498,Manual,27513,Diesel,145,54.3,2.0,11,2292.75,medium,medium,medium,Premium
 Focus,2017,14998,Manual,32511,Petrol,150,41.5,2.0,9,3251.1,medium,medium,medium,Premium
 Fiesta,2016,8498,Manual,21888,Petrol,125,54.3,1.2,10,1989.8181818181818,small,medium,medium,Budget
 Fiesta,2019,13995,Manual,11130,Petrol,145,58.9,1.0,7,1391.25,small,medium,medium,Premium
 Focus,2017,18498,Manual,14441,Petrol,145,41.5,2.0,9,1444.1,medium,medium,medium,Luxury
 Focus,2018,13998,Manual,13401,Petrol,145,60.1,1.0,8,1489.0,small,high,medium,Premium
 Fiesta,2019,12798,Manual,10567,Petrol,145,58.9,1.0,7,1320.875,small,medium,medium,Premium
 Fiesta,2019,14698,Manual,7872,Petrol,145,58.9,1.0,7,984.0,small,medium,medium,Premium
 Ka+,2017,7698,Manual,10641,Petrol,30,57.7,1.2,9,1064.1,small,medium,low,Budget
 EcoSport,2018,12498,Manual,10222,Petrol,145,54.3,1.0,8,1135.7777777777778,small,medium,medium,Premium
 Fiesta,2017,9998,Manual,28519,Petrol,20,62.8,1.0,9,2851.9,small,high,low,Economy
 Kuga,2017,13998,Manual,51772,Diesel,125,60.1,2.0,9,5177.2,medium,high,medium,Premium
 Fiesta,2016,9500,Automatic,7350,Petrol,0,57.7,1.0,10,668.1818181818181,small,medium,low,Economy
 Ka+,2018,8195,Manual,12231,Petrol,145,47.9,1.2,8,1359.0,small,medium,medium,Budget
 Kuga,2019,21498,Automatic,5354,Petrol,150,31.0,1.5,7,669.25,medium,low,medium,Luxury
 Focus,2017,17998,Manual,19525,Petrol,145,41.5,2.0,9,1952.5,medium,medium,medium,Luxury
 EcoSport,2018,14498,Manual,11922,Petrol,145,54.3,1.0,8,1324.6666666666667,small,medium,medium,Premium
 C-MAX,2016,9998,Manual,16984,Diesel,20,68.9,1.5,10,1544.0,medium,high,low,Economy
 Fiesta,2016,7998,Manual,16070,Petrol,125,54.3,1.2,10,1460.909090909091,small,medium,medium,Budget
 Focus,2018,10998,Manual,26648,Petrol,145,61.4,1.0,8,2960.8888888888887,small,high,medium,Economy
 Fiesta,2017,10998,Manual,19140,Petrol,145,62.8,1.0,9,1914.0,small,high,medium,Economy
 Focus,2016,9998,Manual,26399,Diesel,0,74.3,1.5,10,2399.909090909091,medium,high,low,Economy
 Fiesta,2013,5498,Manual,53545,Petrol,30,54.3,1.2,13,3824.6428571428573,small,medium,low,Budget
 Fiesta,2017,9298,Manual,25491,Petrol,0,65.7,1.0,9,2549.1,small,high,low,Economy
 Fiesta,2014,7298,Manual,31359,Petrol,0,65.7,1.0,12,2412.230769230769,small,high,low,Budget
 Focus,2016,8498,Manual,51656,Diesel,0,74.3,1.5,10,4696.0,medium,high,low,Budget
 Kuga,2016,17698,Semi-Auto,11221,Diesel,145,54.3,2.0,10,1020.0909090909091,medium,medium,medium,Luxury
 Kuga,2017,14498,Manual,23356,Diesel,145,60.1,2.0,9,2335.6,medium,high,medium,Premium
 EcoSport,2018,12898,Manual,15267,Petrol,145,53.3,1.0,8,1696.3333333333333,small,medium,medium,Premium
 B-MAX,2017,7998,Manual,41294,Diesel,0,74.4,1.5,9,4129.4,medium,high,low,Budget
 C-MAX,2018,12198,Manual,7993,Petrol,145,49.6,1.0,8,888.1111111111111,small,medium,medium,Premium
 EcoSport,2017,9698,Manual,30207,Petrol,145,53.3,1.0,9,3020.7,small,medium,medium,Economy
 Fiesta,2016,8798,Manual,19815,Petrol,0,65.7,1.0,10,1801.3636363636363,small,high,low,Budget
 Kuga,2015,14298,Manual,43717,Diesel,145,54.3,2.0,11,3643.0833333333335,medium,medium,medium,Premium
 Focus,2018,15798,Manual,4534,Petrol,145,58.9,1.0,8,503.77777777777777,small,medium,medium,Luxury
 Fiesta,2017,10298,Manual,9148,Petrol,145,65.7,1.0,9,914.8,small,high,medium,Economy
 KA,2014,4898,Manual,22609,Petrol,30,57.7,1.2,12,1739.1538461538462,small,medium,low,Budget
 Focus,2016,10298,Manual,15510,Diesel,0,74.3,1.5,10,1410.0,medium,high,low,Economy
 Fiesta,2017,9998,Manual,20347,Petrol,0,65.7,1.0,9,2034.7,small,high,low,Economy
 Kuga,2018,16698,Manual,3044,Petrol,145,39.2,1.5,8,338.22222222222223,medium,low,medium,Luxury
 Fiesta,2017,8998,Manual,5233,Petrol,125,54.3,1.2,9,523.3,small,medium,medium,Budget
 Grand C-MAX,2015,8998,Manual,28359,Diesel,125,60.1,1.6,11,2363.25,medium,high,medium,Budget
 Focus,2017,12498,Semi-Auto,12244,Petrol,125,51.4,1.0,9,1224.4,small,medium,medium,Premium
 Fiesta,2018,12498,Manual,17918,Petrol,145,65.7,1.0,8,1990.888888888889,small,high,medium,Premium
 S-MAX,2020,34498,Semi-Auto,4623,Diesel,145,43.5,2.0,6,660.4285714285714,medium,medium,medium,Luxury
 EcoSport,2017,9298,Manual,16770,Petrol,145,44.8,1.5,9,1677.0,medium,medium,medium,Economy
 Focus,2017,10900,Manual,25459,Petrol,145,60.1,1.0,9,2545.9,small,high,medium,Economy
 EcoSport,2017,9998,Manual,23913,Petrol,125,53.3,1.0,9,2391.3,small,medium,medium,Economy
 Fiesta,2018,12998,Manual,9901,Petrol,150,65.7,1.0,8,1100.111111111111,small,high,medium,Premium
 Focus,2016,10998,Semi-Auto,15006,Petrol,125,51.4,1.0,10,1364.1818181818182,small,medium,medium,Economy
 Focus,2017,15500,Manual,19593,Petrol,145,41.5,2.0,9,1959.3,medium,medium,medium,Luxury
 Kuga,2017,16200,Semi-Auto,23027,Diesel,145,58.9,1.5,9,2302.7,medium,medium,medium,Luxury
 C-MAX,2016,10500,Semi-Auto,13580,Diesel,20,64.2,1.5,10,1234.5454545454545,medium,high,low,Economy
 Focus,2015,13200,Manual,32000,Diesel,20,67.3,2.0,11,2666.6666666666665,medium,high,low,Premium
 Focus,2019,18698,Manual,15365,Petrol,145,60.1,1.0,7,1920.625,small,high,medium,Luxury
 Focus,2019,16998,Manual,7924,Diesel,145,80.7,1.5,7,990.5,medium,high,medium,Luxury
 Fiesta,2017,9998,Manual,10721,Petrol,145,65.7,1.0,9,1072.1,small,high,medium,Economy
 EcoSport,2017,9498,Manual,25939,Petrol,145,53.3,1.0,9,2593.9,small,medium,medium,Economy
 Fiesta,2019,17498,Manual,3265,Petrol,145,58.9,1.0,7,408.125,small,medium,medium,Luxury
 Focus,2019,15998,Automatic,11045,Petrol,145,41.5,1.0,7,1380.625,small,medium,medium,Luxury
 EcoSport,2020,17998,Manual,250,Petrol,145,51.4,1.0,6,35.714285714285715,small,medium,medium,Luxury
 B-MAX,2013,5698,Manual,44901,Petrol,145,47.1,1.4,13,3207.214285714286,medium,medium,medium,Budget
 Focus,2017,9998,Manual,22001,Petrol,20,60.1,1.0,9,2200.1,small,high,low,Economy
 Fiesta,2020,17298,Manual,4563,Petrol,145,54.3,1.0,6,651.8571428571429,small,medium,medium,Luxury
 Fiesta,2019,16998,Manual,12236,Petrol,145,55.4,1.0,7,1529.5,small,medium,medium,Luxury
